Node_Config Probability Error
0001010001000011110010 0.000014 0.000004
1010000100001100100010 0.000079 0.000013
1001000000000101110111 0.000039 0.000023
1011000100001110110110 0.000002 0.000025
1000001000000101111110 0.000017 0.000002
0001110011100011111011 0.000017 0.000020
0111100110111000000100 0.000039 0.000010
0001111011000011111111 0.000177 0.000007
1001110001000011110011 0.000126 0.000004
1000000100000101111010 0.000003 0.000009
1110100110111100000100 0.000139 0.000011
0111111011101011011110 0.000014 0.000015
1010000100001110000111 0.000041 0.000008
1110100100011100001000 0.000017 0.000015
0011110101111000001001 0.000011 0.000009
0101111011110011010101 0.000026 0.000018
0101111011101011010000 0.000053 0.000009
0110101100111100001001 0.000021 0.000006
